,id,제목,제안 분야,제안 시작,제안 마감,투표 수,제안인
0,280,행정기관 소속 위원회 위원 개인정보 및 안건 공개 기준에 관한 법적 근거 마련,일반행정,2019.10.16,2020.01.13,0,법제혁신
1,278,원스톱 의원요구자료 제출 시스템 구축,일반행정,2019.10.15,2020.01.12,0,연시랑
2,277,예산을 공평하게 분배,사회통합,2019.10.15,2020.01.12,3,슈퍼맨119
3,276,공무원 인트라넷 통합메신저,일반행정,2019.10.15,2020.01.12,0,페이소스
4,274,천차만별인 지역 유류가격을 지자체별로 저가 순위 주유소와 고가주유소를 공개하여 시민에게 저렴한 주유소를 알려 서민경제 부담을 줄여 주세요.,공동체,2019.10.03,2019.12.31,2,청류
5,272,행안부 생활공감정책추진단 제안에 대한 검토방식 개선,안전,2019.09.20,2019.12.18,9,주주단
6,271,주거형 오피스텔 차별 해소 필요,일반행정,2019.09.18,2019.12.16,4,vision
7,260,시간선택제공무원 근무시간 확대와 관련된 규정 개정 요청,일반행정,2019.09.04,2019.12.02,14,청운
8,254,한컴오피스 없으면 대한민국 정부랑 일할수 없는 규제좀 풀어주세요.,일반행정,2019.08.29,2019.11.26,2,워드좀했으면
9,244,"부동산 확정일자, 민원24시(http://www.minwon.go.kr)에서 가능하도록 해요",일반행정,2019.08.28,2019.11.25,2,정부혁신과 사회복지
10,232,"정부1번가 /시민 제안  차이점 있는지,",국민참여,2019.08.22,2019.11.19,0,올리는 시민
11,227,국민제안 문제점 지적 및 개선사항,국민참여,2019.07.26,2019.10.23,7,길쌈
12,222,정부조직법 부처 개편 일부 개정안(추가 일부 변경),일반행정,2019.07.16,2019.10.13,2,jong176
13,218,"아동폭력, 청소년 폭력에 대한 신고의 범위 확대를 위한 행정안전부와 보건복지부의 협업을 제안 합니다.",인권/평등,2019.07.08,2019.10.05,58,디딤돌
14,216,공시송달 의뢰공문의 전국배포를 중단하여 문서로 인한 스트레스 해소와 행정업무 효율성 증대,일반행정,2019.06.27,2019.09.24,7,민첩지킴이
